Gene,log2FC,p-value
PPP1R17,9.01432808,1.19E-83
PLCD1,-3.327486778,1.89E-83
COL4A6,-7.41915719,1.27E-82
ISL1-DT,10.75533446,1.55E-82
NEK6,-5.536709907,2.93E-82
AJUBA,-8.097777264,3.28E-82
GNAO1,5.373901787,3.96E-82
SVOP,9.189176066,4.15E-82
MYOF,-10.45817766,6.20E-82
NSG2,7.138963436,6.20E-82
ACTN1,-4.822616832,1.17E-81
OPCML,7.144009146,1.21E-81
LGI2,5.997409205,2.80E-81
SULT1C4,-5.317204986,3.34E-81
NAAA,4.84380032,3.36E-81
TIMP1,-4.776910502,1.11E-80
AMER3,8.558419702,2.11E-80
PARM1,6.092389369,3.29E-80
PXYLP1,2.895729727,1.25E-79
CHST8,5.274506916,1.29E-79
SERPINH1,-6.143008491,1.33E-79
TJP2,-4.681947309,1.33E-79
ADAMTS9,-7.072861708,7.50E-79
MGST1,-6.412118453,9.96E-79
VSTM2A,9.772815401,1.31E-78
GLB1L3,6.57905148,1.32E-78
ARAF,-1.937048901,1.79E-78
ASIC1,3.661431663,2.04E-78
SOX9,-6.402372768,3.43E-78
NEFM,7.001053938,6.62E-78
TUBB4A,6.696199531,7.90E-78
ITGA5,-6.75164227,9.05E-78
ONECUT1,10.64032047,9.91E-78
NREP,2.919010568,1.05E-77
RIMS3,3.686491804,2.81E-77
AMOTL2,-2.896260004,2.90E-77
DAB2,-6.024327872,5.33E-77
RTN4RL2,4.817576147,7.12E-77
COL26A1,-5.195029163,1.04E-76
PTGIS,-7.094450305,2.34E-76
ZNF385B,-9.409057303,3.48E-76
SFRP2,-7.226382239,5.13E-76
MAPK4,3.286297949,5.13E-76
CCN1,-8.435402441,5.65E-76
ADARB2,3.867022035,9.01E-76
CCN2,-8.995308617,1.04E-75
SCN9A,9.504338456,1.97E-75
SPOCK2,6.430774826,2.59E-75
ZFP36L2,-6.690793146,4.22E-75
MYLK,-6.66427618,1.40E-74
SEMA6D,4.57057115,1.75E-74
LTBP1,-6.179319614,2.31E-74
ANKRD33B,-9.369610977,2.44E-74
PARD6A,3.807062323,3.11E-74
AP3B2,5.191643728,3.32E-74
FAM78B,8.381891409,3.79E-74
NOTCH2,-8.131945164,4.59E-74
COL1A2,-5.82980622,4.66E-74
PLAU,-9.101878198,6.32E-74
SNAP91,6.372204199,6.50E-74
VPS41,1.567684247,7.58E-74
PTPN14,-7.735493051,1.16E-73
PEX5L,7.151403349,1.18E-73
SPARC,-5.758563444,1.45E-73
GABBR2,8.574887421,2.38E-73
REEP1,8.721581117,3.00E-73
RALGDS,1.893524407,3.03E-73
CNRIP1,6.77958607,3.03E-73
GFRA3,8.524585912,4.09E-73
RXRG,9.4539257,1.03E-72
MAGI2,4.19612782,1.27E-72
FMN2,6.815636039,1.56E-72
COL1A1,-9.169108287,2.23E-72
TPM1,-4.059888878,2.69E-72
GDAP1L1,5.843639137,3.09E-72
SCAMP5,4.315097226,8.24E-72
CAMK2A,6.254094777,1.09E-71
CHAT,7.888124319,1.31E-71
SH3GL2,6.240075048,2.02E-71
KCNQ2,5.442179193,4.56E-71
MFSD6,5.88226991,6.91E-71
PCSK5,-3.974819949,1.01E-70
CHRNA4,8.177924504,2.95E-70
CHRNB4,6.87088345,8.66E-70
MKNK1,2.876767314,9.44E-70
APOLD1,-7.02226542,1.22E-69
SLC31A1,-1.395729533,2.00E-69
SPOCK3,10.14851711,2.00E-69
KLHL4,7.085135815,3.44E-69
EDIL3,5.540451711,3.70E-69
ALPL,-6.023119649,4.55E-69
MSRB3,-5.518810171,4.55E-69
SMCO4,-3.619503282,9.22E-69
MKI67,-7.195056071,1.54E-68
SCG2,9.542103487,1.90E-68
HSPA2,-6.342020946,2.71E-68
EPB41L4A,4.539925022,2.81E-68
NEDD9,-5.351527348,2.82E-68
TXNRD2,-7.726892982,3.27E-68
KLHL1,10.1143419,3.31E-68
FBN2,-8.314972335,3.63E-68
EEPD1,3.943238574,4.12E-68
STMN3,6.964662037,4.12E-68
LIX1,-8.609864004,5.69E-68
ACTL6B,10.68599149,8.12E-68
FAM83D,-5.238691729,1.28E-67
EFHD1,-5.279667654,1.41E-67
SLC2A3,-5.242452189,1.61E-67
SMPD3,7.354065454,1.61E-67
GULP1,-5.654066952,1.95E-67
TEK,-7.10763388,2.18E-67
PLEKHD1,6.176611246,2.38E-67
PLEKHA4,-5.580638623,2.70E-67
FAT1,-4.191905264,3.37E-67
AKAP6,6.947522631,5.19E-67
CEP55,-5.80463842,5.91E-67
CYB5R1,2.529971098,8.24E-67
RREB1,-4.486920647,1.00E-66
CASP3,4.275574629,1.27E-66
SLC17A6,13.71422202,1.39E-66
TULP3,-1.668562378,1.55E-66
WWC2,-4.112429768,2.58E-66
SLC2A10,-6.685460246,2.79E-66
OLFML2A,-7.005192981,3.16E-66
PDE2A,5.198013425,4.22E-66
LRP2,-7.322575334,4.30E-66
ITGB5,-7.364654142,4.54E-66
NCAM1,5.459375519,4.62E-66
KIRREL3,4.671489978,4.78E-66
SVIP,2.883173908,4.97E-66
CNN2,-4.889098613,8.24E-66
ARPC1B,-3.542681613,1.16E-65
DRG2,-1.871745474,1.49E-65
CACNA2D1,5.069527769,1.88E-65
CDC14B,-3.157932206,1.95E-65
CADPS,5.853129395,2.17E-65
PARVA,-3.822332633,3.02E-65
GNG3,7.446614694,6.19E-65
SCG3,7.489623417,7.74E-65
DIAPH2,-3.733529663,8.25E-65
CCDC92B,4.886573214,9.03E-65
MEST,-3.91612298,1.53E-64
ARHGEF10L,2.026142305,1.61E-64
SNAI2,-6.80042363,1.85E-64
COL2A1,-8.277140165,1.99E-64
AURKB,-6.879660652,1.99E-64
YAP1,-6.726259515,2.70E-64
ISCA1,2.24276273,3.75E-64
SNAP25,5.840223239,3.87E-64
GLRX,3.075748989,5.09E-64
WWTR1,-6.623665235,7.12E-64
GDNF,7.681405286,7.82E-64
PLIN3,-4.415899188,8.73E-64
BEND5,2.618291079,1.18E-63
CADM1,2.130390329,2.46E-63
PTPRO,7.810484431,4.17E-63
PCBP4,3.37332409,4.60E-63
CNTNAP3,-3.970805704,6.30E-63
NUSAP1,-5.578674102,7.52E-63
TLN1,-3.371848694,9.36E-63
HID1,3.988587977,9.36E-63
LIPG,-4.46589116,1.16E-62
ISLR2,11.11690933,1.46E-62
ZNF185,-5.120288448,1.56E-62
CELF4,6.349200986,1.62E-62
MTMR6,1.878245643,2.12E-62
KCNB2,6.029482891,2.35E-62
NFKBIZ,-5.136563015,2.56E-62
REPS2,5.092252349,2.74E-62
GPX8,-5.494884869,2.85E-62
MYC,-3.335155154,3.13E-62
ITGA6,-3.118893163,3.90E-62
CNGA3,8.940661974,4.01E-62
SAMD4A,-6.027573348,5.64E-62
ECEL1,5.09952656,6.89E-62
EDIL3-DT,4.976232987,7.61E-62
XKR7,4.906230353,8.04E-62
PLA2G3,-6.24809468,8.48E-62
CRB1,6.441808836,1.28E-61
NDRG4,4.882512981,1.40E-61
CRABP1,5.663345195,2.25E-61
NECAP1,2.411373277,2.33E-61
CCDC80,-8.512981339,3.03E-61
KCNH3,3.938414213,3.24E-61
GPC4,-7.284393586,4.22E-61
PRICKLE3,-6.636409776,5.61E-61
SHROOM3,-3.745326987,7.04E-61
CAVIN1,-9.690914564,9.61E-61
CD74,-3.388604825,1.19E-60
CNGB1,8.975867624,1.40E-60
CACNA1E,7.139610363,1.67E-60
PCSK2,5.790847416,1.69E-60
UNCX,11.44843486,1.78E-60
COL4A1,-5.836801382,1.89E-60
HJURP,-5.368984098,2.83E-60
MAPK8,2.442814449,4.38E-60
EBF1,8.867987642,4.80E-60
GJA1,-6.938840963,5.22E-60
B3GAT2,7.007753562,5.53E-60
LOC105375304,6.456235536,5.65E-60
TTC9B,7.839888228,5.77E-60
C14orf132,5.44223986,5.92E-60
CDK5R2,6.6975278,6.15E-60
BMP4,-9.08721112,6.28E-60
PPP1R1C,7.325756735,7.91E-60
FBXO9,2.325592661,8.35E-60
CAMKV,5.489406547,1.00E-59
MADD,3.036497849,1.96E-59
ANXA1,-9.085010873,1.97E-59
MYO1C,-2.953107299,2.04E-59
MBOAT1,-7.884237778,2.33E-59
SORBS3,-6.373724333,2.94E-59
SLC2A14,-5.221047591,4.18E-59
NTRK2,9.057224624,4.37E-59
COL4A5,-7.137300447,4.55E-59
DPF3,6.453119366,8.83E-59
NSG1,5.463659292,8.99E-59
ANO4,5.760636557,9.99E-59
SLC39A14,-2.100242902,1.09E-58
SNCB,4.728138559,1.11E-58
REG1A,3.801214613,1.47E-58
DLGAP5,-6.619657094,1.69E-58
SEC24D,-2.545097212,1.72E-58
MYL9,-7.4116842,1.89E-58
COL18A1,-6.988583045,1.96E-58
TECPR1,1.975940875,1.97E-58
PLK1,-5.364018984,1.98E-58
CNN3,-2.483833569,2.10E-58
ATRNL1,5.168675886,2.23E-58
CELF3,6.365378832,3.74E-58
STON2,2.469829308,4.36E-58
HLF,5.811605111,4.38E-58
PHACTR3,7.954171562,4.38E-58
SPON1,-4.836530726,5.69E-58
PACS2,2.564305595,6.91E-58
SAMD14,2.836227022,7.41E-58
DCTD,-0.95863333,8.28E-58
LOC151760,-6.913982681,9.64E-58
GLI3,-6.067206444,1.01E-57
SLC9A9,6.186624753,1.85E-57
GRIK3,6.230217387,1.97E-57
DIAPH3,-5.546409481,2.13E-57
PAWR,-4.194946206,3.51E-57
CNTNAP4,9.866769878,3.84E-57
TMEM163,6.027319722,4.30E-57
SAYSD1,1.609492696,5.15E-57
FAM102B,3.336803869,5.37E-57
DNAJC22,3.81546345,5.84E-57
PCDHGA10,-3.382346008,6.25E-57
PIK3IP1,3.936640638,6.38E-57
LOC100129034,-4.582605201,7.87E-57
KIF21B,4.345379561,1.02E-56
GPC3,-5.454639973,1.05E-56
ANKRD45,-3.959645157,1.10E-56
TMEM132A,3.585483755,1.13E-56
MTMR7,4.990904671,1.28E-56
ADM,-9.277950575,1.94E-56
STMN1,1.788671286,2.02E-56
DESI2,-1.793228518,2.20E-56
CSRP2,-4.278291616,2.46E-56
E2F3,-1.994133404,3.29E-56
NUAK2,-4.256859906,3.61E-56
PDIA6,-1.995588682,4.91E-56
BRINP1,6.164552225,4.99E-56
TTC38,-2.039047334,6.14E-56
CHRNB2,6.380731555,6.47E-56
EPS8,-4.972318321,8.66E-56
FZD5,-7.2981085,9.96E-56
TPX2,-4.062611316,1.22E-55
ABCC4,-3.931491611,1.24E-55
MEIS2,-3.685126849,1.42E-55
SPTB,-4.547178955,1.58E-55
KLC1,2.608259602,1.71E-55
SH3BGRL2,2.61222365,1.73E-55
SLC2A12,-5.71446306,1.92E-55
PDPN,-5.855535277,2.10E-55
MDGA1,5.078778346,2.22E-55
RHPN2,-4.056438667,2.31E-55
FXYD7,7.231734409,2.62E-55
SLFN12,-8.526083417,2.78E-55
FZD2,-6.297265369,2.87E-55
E2F7,-5.259248042,3.08E-55
SYDE1,-7.754715722,3.11E-55
CHST3,-6.766766126,4.05E-55
SCRT2,8.355393937,6.25E-55
DSP,-5.62150839,8.62E-55
MYH9,-3.640299979,9.42E-55
EVA1B,-6.880513454,1.05E-54
GTSE1,-4.665299063,1.06E-54
IGSF3,2.087583341,1.19E-54
NCAM1-AS1,8.053075141,1.49E-54
UGT3A2,-4.971647448,1.50E-54
ATP2B3,5.734735536,1.50E-54
PTGR1,-3.316561689,1.61E-54
MRPS31P5,1.516402482,1.64E-54
SMIM3,-4.376507772,1.99E-54
DOK5,4.54593107,2.21E-54
PSD,6.095629948,2.24E-54
ZNF788P,-4.385692758,2.79E-54
EPHB4,-6.315740278,2.88E-54
NR2F2,-8.656556112,3.02E-54
INA,5.411581289,3.43E-54
SOX3,-3.780868829,3.46E-54
COL11A1,-6.174306657,3.64E-54
TNS3,-5.497321925,3.64E-54
PCDHA4,2.771558342,3.72E-54
SRRM4,4.538929317,3.75E-54
TK1,-7.22171354,3.98E-54
SEMA4D,2.541817771,4.25E-54
PRDX6,-2.767310236,4.40E-54
RYK,-2.589367321,4.42E-54
TGIF2,-4.844915811,4.65E-54
FAM117A,-2.920082247,6.91E-54
GLI2,-5.00062562,7.10E-54
MAFF,-5.648754914,7.53E-54
CDH22,6.827304687,1.00E-53
SMAD1,1.75990492,1.22E-53
EGLN3,-4.150295302,1.49E-53
KIF20A,-6.880067408,1.60E-53
KIF23,-6.272586132,1.60E-53
DYNC1LI1,1.377717322,1.72E-53
EML6,6.026564134,1.83E-53
BIRC5,-5.964416091,1.93E-53
FAR2P2,3.151612463,2.36E-53
PYGL,-5.745112842,2.39E-53
ARHGAP29,-4.766290704,2.59E-53
S100A11,-6.919007622,2.75E-53
CSF1,-4.743175468,2.99E-53
WLS,-7.281428501,3.28E-53
KCNJ9,7.840513327,3.54E-53
PKN3,-4.359426842,4.08E-53
TPM2,-4.71183698,4.08E-53
CYB5R4,1.721167043,4.28E-53
EPS8L1,2.277535409,4.36E-53
FAM83G,-5.672986385,4.44E-53
SKA3,-5.785699321,5.29E-53
VCL,-2.747122723,6.21E-53
FGFR3,-6.97533661,6.33E-53
SDC4,-7.261681415,7.01E-53
NAPB,4.067525859,7.49E-53
KRT18,-8.620064864,7.59E-53
KANK2,-3.441620685,7.76E-53
VAMP2,3.188766105,9.27E-53
CHST1,5.584478736,1.23E-52
CYP2S1,-4.353663084,1.24E-52
PCSK1N,6.860338761,1.47E-52
KALRN,3.832543657,1.48E-52
GPHN,2.736598124,1.79E-52
SELENBP1,-5.325868521,1.94E-52
GADD45B,-5.646910303,1.97E-52
ARID1B,1.989869795,2.24E-52
ZNF875,-9.569008221,2.26E-52
ACP6,-3.90744221,2.86E-52
NR4A1,-4.367061878,3.28E-52
UBASH3B,3.344265529,3.89E-52
CDH11,-4.091616334,3.99E-52
LOC441204,4.522612779,4.28E-52
ATP8A2,6.482689655,4.56E-52
ADD2,3.282735448,6.08E-52
TMEM35A,3.358858392,7.59E-52
ATP2B1-AS1,3.536156573,7.81E-52
PDGFRA,-5.589244384,8.96E-52
WTIP,-4.838167247,9.06E-52
LIN7A,3.334178708,1.06E-51
UBE2G1,1.498170767,1.28E-51
RAB3C,5.833502821,1.46E-51
EPHA2,-5.822493055,2.27E-51
AKR1C2,5.446939712,2.46E-51
CHN2,3.013812597,2.68E-51
IFITM2,-8.017811678,2.94E-51
IFITM3,-7.666046844,5.73E-51
CPVL,-3.87022864,6.44E-51
PSRC1,-3.888292278,7.52E-51
TMC6,-6.655712538,7.53E-51
UGDH,-2.136900943,7.90E-51
KCNH2,3.895101159,8.19E-51
HSPA12A,4.660217728,1.29E-50
FGFRL1,-6.553453514,1.52E-50
POGLUT3,-4.563373009,1.77E-50
SIX5,-4.987392765,1.90E-50
ANKRD9,-3.379264385,1.91E-50
FABP6,5.014276024,2.29E-50
DNER,6.592958277,2.55E-50
TEAD3,-3.691384499,2.62E-50
ALDH18A1,-1.828418957,2.87E-50
CALU,-2.461339068,3.26E-50
NOTCH2NLB,-6.313268215,3.53E-50
LOC643072,2.776313702,3.60E-50
SV2C,8.769365838,3.88E-50
CCNB1,-3.725157133,3.88E-50
GNAT3,12.45357787,6.19E-50
IPMK,1.595539042,6.34E-50
GRK5,2.256857013,6.55E-50
MTA3,1.809184675,7.01E-50
CDC42EP1,-7.339099574,8.06E-50
LINC00693,6.351257293,8.57E-50
NPAS4,-5.02270904,9.05E-50
TEAD4,-5.850329663,1.04E-49
TNFRSF12A,-6.386248847,1.11E-49
PLP1,-5.340086553,1.15E-49
ZNF804A,7.146928201,1.26E-49
SLC25A43,-4.603661446,1.40E-49
PRXL2C,-2.589667079,1.42E-49
APLP1,3.336210832,1.46E-49
NDST3,4.873542965,1.64E-49
SV2B,5.452292201,1.91E-49
KCNH7,7.037183211,2.42E-49
DSE,-1.648045009,2.56E-49
ETFB,2.535534517,3.25E-49
GNAZ,2.342944201,3.29E-49
LYN,-5.060773523,4.02E-49
SEPTIN4,4.89773123,4.33E-49
TPD52,4.08204857,5.28E-49
FSTL1,-3.161122609,5.58E-49
DOK6,5.712237846,5.63E-49
CCNA2,-5.22696583,6.91E-49
ATP9A,3.430081161,8.33E-49
TRIP6,-5.254941202,9.38E-49
YBX3,-4.430238629,9.85E-49
CTNNAL1,-4.286145969,1.28E-48
PPFIA2,6.987066566,1.28E-48
KCNIP2,4.314975855,1.34E-48
IQGAP3,-6.638106847,1.51E-48
OLFM1,4.347126899,1.62E-48
ENO1,-2.632276412,1.65E-48
SLC12A4,-5.044408095,1.86E-48
PLEKHG4B,-3.768507943,2.29E-48
CYB5D2,2.889272849,2.29E-48
FOXM1,-5.508456716,2.53E-48
TAGLN,-7.359596424,2.83E-48
TMEM62,3.181438858,2.88E-48
ANKRD6,2.615299455,3.11E-48
NEFH,2.745230206,3.26E-48
CRY1,-1.929983638,3.30E-48
CPNE2,-2.815044099,3.43E-48
TMOD2,6.248332921,3.46E-48
ASB8,2.688521103,4.23E-48
DEPDC1,-4.94553286,4.99E-48
TRAPPC6B,2.065686968,5.57E-48
KDELR3,-6.607653883,6.08E-48
CLDN6,-4.191136871,1.13E-47
LCTL,-4.107359053,1.38E-47
FBN1,-3.696332726,1.93E-47
KIF2C,-5.424369044,2.12E-47
GNAI1,2.28306236,2.58E-47
TOP2A,-5.270242737,2.70E-47
ESRRG,5.436111398,4.78E-47
LRATD2,-4.584000298,6.25E-47
RNF150,4.845796603,7.46E-47
BST2,-8.81029055,7.65E-47
TNFRSF10D,-5.39278921,8.17E-47
COL9A3,-6.230339958,8.19E-47
IRS4,-5.409933322,8.57E-47
INSYN1,4.5096879,8.59E-47
TSPAN12,-3.545748828,9.23E-47
EGF,-8.196329956,1.07E-46
DZIP1L,-4.574180231,1.12E-46
CHGB,5.757322121,1.29E-46
STOML1,3.062550192,1.30E-46
CALD1,-4.710865189,1.43E-46
FGFBP3,-3.992838854,1.47E-46
TGIF1,-5.687077291,1.52E-46
COL12A1,-7.62702939,1.55E-46
PAK5,5.52282382,1.65E-46
TSPAN13,2.357274529,1.83E-46
CASP7,-6.490373422,1.94E-46
SYT5,6.068418693,2.20E-46
ANK1,2.781410796,2.56E-46
LOC101929937,2.895417989,2.60E-46
GLTPD2,3.98755192,2.63E-46
RIMKLA,4.507291851,3.05E-46
MIR4435-2HG,-5.610923892,3.41E-46
SLC9A3R2,-3.1634894,3.74E-46
RBPMS,-3.166241858,4.50E-46
TRIP10,-4.660435386,6.07E-46
EHD4,-3.874736624,6.30E-46
HK2,-3.612120012,8.94E-46
MFAP2,-4.288005045,8.95E-46
GRIA4,6.599722278,9.96E-46
PCDH8,5.450602722,1.08E-45
SLC46A3,4.375040286,1.10E-45
ALCAM,3.329541012,1.15E-45
PARP6,3.137990754,1.17E-45
MAMDC2,-5.646326049,1.22E-45
PKIA,4.274892664,1.41E-45
AMMECR1,-2.152961911,1.57E-45
SMTN,-2.930656269,1.67E-45
CMTM6,-2.293713894,1.91E-45
DDC,7.188189332,2.16E-45
IQSEC3,4.201943053,2.46E-45
LOC105371619,-8.925245373,2.84E-45
RGS19,-3.697962233,3.26E-45
PPP1R1A,4.567578822,3.28E-45
PTTG1,-5.127602979,3.42E-45
AUH,1.493969141,4.70E-45
FHL2,-4.530821101,5.34E-45
CAMK4,3.905156609,5.91E-45
SFRP1,-3.771502293,6.01E-45
TOP1MT,-2.974923587,7.01E-45
ERBB2,-4.180007582,7.49E-45
LINC00667,1.704574418,7.59E-45
NOVA1,2.942145484,8.33E-45
PDGFB,-7.535532336,9.04E-45
LRRN3,4.183265089,9.45E-45
PDGFRB,-5.729524383,9.67E-45
SMO,-4.347234866,1.10E-44
NXPH4,6.236357916,1.12E-44
LOC105374338,6.285039269,1.12E-44
ANO5,4.378068439,1.17E-44
NHLH2,3.497462627,1.26E-44
FAIM2,5.123613866,1.29E-44
CDC20,-5.464926806,1.42E-44
SNAI1,-5.811096094,1.57E-44
TNFRSF10B,-4.024932015,1.87E-44
NOTCH1,-5.667524142,1.90E-44
LOC105378558,7.859353131,1.99E-44
KCNH6,6.448126223,2.07E-44
SNTB1,-5.953518366,2.30E-44
TLCD3A,-2.42632543,2.42E-44
STAT5B,-1.835503273,3.06E-44
RAB34,-3.746049339,3.29E-44
GLCCI1,3.206323234,3.79E-44
CTNND2,2.988697843,3.97E-44
LINC00957,5.898085667,4.40E-44
CLVS2,4.84633975,4.71E-44
BCL2L12,-5.030760681,5.53E-44
DUSP26,4.066349965,5.69E-44
ISG15,-5.792006483,6.23E-44
UBE2C,-6.384185349,6.53E-44
GAREM2,2.372711065,6.57E-44
KCNC1,4.960906185,6.59E-44
KIF3A,2.420952708,6.81E-44
ACO2,1.653181887,7.25E-44
ATP7B,-2.166468419,7.58E-44
HINT3,1.780770007,7.71E-44
ARHGAP31,-6.699765082,8.07E-44
CACNB3,2.753918815,8.25E-44
TIMP3,-5.282780597,8.55E-44
SYT1,3.268978292,9.03E-44
CASTOR3,2.356344364,1.10E-43
USP54,-1.769898918,1.14E-43
NME4,-3.871629002,1.30E-43
LOC100132249,4.811001765,1.43E-43
C3orf14,3.689123592,1.45E-43
LMO1,4.05890614,1.74E-43
ZNF107,-6.390819988,1.89E-43
TEAD1,-2.589057478,2.04E-43
AEBP1,-3.379580598,2.14E-43
SLC25A12,3.469132363,2.17E-43
TTLL4,-2.242686321,2.27E-43
CNTNAP5,6.594037832,2.27E-43
MAST1,4.107546476,2.47E-43
DGKB,6.41123186,2.67E-43
CDK1,-6.197279241,3.13E-43
ADAP1,4.486922993,3.85E-43
KCNIP4,6.214506489,4.63E-43
PIEZO1,-3.845949686,5.00E-43
TLCD3B,3.570675892,5.29E-43
NEUROD1,7.615958848,5.96E-43
SYT3,4.432492164,6.06E-43
SRGAP3,3.31545774,7.46E-43
NEGR1,5.805679681,7.85E-43
CPEB3,4.880902538,8.02E-43
MAPT_1,7.860735186,8.13E-43
PTPRU,-3.035060219,8.25E-43
TERF2IP,2.465868041,9.77E-43
CCNB2,-5.194186925,1.04E-42
SERPINA5,-4.72684172,1.08E-42
FST,-7.388779656,1.09E-42
FJX1,-3.003065337,1.26E-42
TMEM51,-3.862740471,1.37E-42
CDCA8,-3.372877406,1.67E-42
CELSR1,-5.661643657,1.77E-42
ERCC6L,-5.255496696,1.85E-42
STK26,-4.253815147,2.14E-42
GPR155,4.542026723,2.31E-42
MRGPRF,-6.33352239,2.60E-42
NPC2,-3.474945661,2.74E-42
DMTN,4.73436936,3.67E-42
VAMP3,-2.001286537,3.76E-42
LDLRAP1,-4.55492148,3.91E-42
MAP7D3,-2.758485205,4.01E-42
TMEM98,-1.929547756,4.01E-42
TMEM121B,3.656697548,4.02E-42
ADAMTS1,-2.834292852,4.19E-42
KIF4A,-4.888922051,5.11E-42
KIF18B,-5.545127622,5.57E-42
FITM2,1.773796415,5.89E-42
WDFY3-AS2,3.716398115,6.08E-42
KCNH8,5.684709161,6.15E-42
NFASC,5.165428011,6.23E-42
BAALC,4.79116344,6.30E-42
CRTAP,-2.876842162,6.71E-42
KDM6A,-1.712955217,6.80E-42
TYMS,-5.110319926,7.40E-42
SMAD6,-8.528695408,7.75E-42
DNAJC12,3.453503443,7.94E-42
PLK2,-3.938385298,9.59E-42
SYN3,4.288598631,1.02E-41
FAM72D,-5.044532079,1.10E-41
IRX3,4.066928712,1.14E-41
FLJ16779,3.586229399,1.16E-41
LSR,-4.839936191,1.18E-41
PLAUR,-6.73763794,1.18E-41
TCTN3,-1.441755558,1.24E-41
LOC102723675,6.961356359,1.27E-41
INAVA,-6.093217599,1.53E-41
EMILIN1,-2.967540989,1.66E-41
LGMN,-1.683000279,1.81E-41
FNIP2,3.122176442,1.83E-41
GGA2,-2.161309844,1.85E-41
ZNF385D,4.523755248,1.90E-41
SGIP1,4.326834142,2.07E-41
TACC3,-4.119830367,2.49E-41
