Gene,logFC,FDR
CNMD,-7.460704157,1.71E-197
NOP56,-1.664002796,2.13E-197
EXO1,-5.1596263,3.16E-197
SDK1,3.307852841,5.36E-197
NACAD,5.003387697,1.21E-196
LIMA1,-3.516159485,1.66E-196
FAM83F,-5.798998907,2.68E-196
TUBB4A,3.604574671,4.18E-196
PARP6,3.748146692,4.77E-196
SERBP1,-2.212807866,1.89E-195
PMAIP1,-7.603847073,3.82E-195
PODXL,-5.419793884,4.16E-195
PNMA8B,4.750837349,6.64E-195
CHGB,5.78308262,3.31E-194
CENPU,-5.119319506,5.26E-194
TRIP13,-4.449539944,5.41E-194
GAP43,6.076438731,6.34E-194
NXT2,-4.779279118,3.01E-193
XKR7,3.452356528,4.67E-193
ARL4C,2.872100605,8.85E-193
ARMCX3,3.167739714,4.32E-192
RGMB,1.907794833,2.20E-191
CARMIL1,-4.617717217,3.16E-191
CNRIP1,6.060753729,5.12E-191
KCTD7,2.839649148,9.48E-191
STIL,-5.224991115,2.25E-189
DNAJC6,4.795730474,1.05E-188
MCF2L,3.020443623,2.34E-187
TAGLN3,7.378868162,5.52E-187
VPS41,1.580670306,3.04E-186
HMGB2,-5.11425276,7.71E-185
ESRP1,-12.10908457,2.13E-184
CDH3,-4.860972337,3.25E-184
PLK1,-5.672957105,4.63E-184
AP1M1,1.883299266,8.77E-184
KIFAP3,5.873801027,1.02E-183
ORC6,-2.827768036,2.05E-183
FANCD2,-4.819453657,3.07E-183
BLM,-5.718164962,4.59E-183
PRNP,4.013233024,7.77E-183
TMEM35A,5.231127622,1.25E-182
PARD3,-3.146134043,2.75E-182
EVL,2.774117336,1.09E-181
WDR47,4.092242572,6.28E-181
BRIP1,-5.78664415,7.06E-181
CD99L2,3.657200098,1.10E-180
PDIA6,-2.263646549,1.40E-180
BLCAP,3.325780667,5.63E-180
FHL1,2.056488495,6.72E-180
VSTM2A,5.613262409,2.82E-179
RYK,-1.977141612,4.48E-179
SIPA1L1,-3.97866372,8.51E-179
CMTM6,-3.180547562,1.42E-178
TPM1,-2.285725212,2.95E-178
GLDC,-2.743847765,8.55E-178
CSE1L,-2.061399703,1.06E-177
GPHN,2.297740174,1.06E-177
MAP6,6.633275585,4.23E-177
ATP6V1B2,1.999554511,4.59E-177
ABCA3,3.292865191,9.73E-177
VRK1,-2.544660072,1.59E-176
CBFA2T3,4.985331477,1.75E-176
THUMPD3,-6.876000647,2.73E-176
DHX15,-1.394457033,5.70E-176
NET1,-2.666551138,5.80E-175
ROR1,-4.977447015,2.64E-174
MFSD6,3.608909829,8.32E-174
MAFB,3.950894416,1.34E-173
TMOD2,6.448818102,1.56E-173
NSG2,12.42316639,3.90E-173
TCF7L1,-7.684900524,8.24E-173
MDGA1,9.453464172,1.09E-172
SOBP,3.916292453,3.25E-172
TAF4B,-5.894073936,4.07E-172
KIF18A,-4.955593702,4.14E-172
DACH1,7.069888537,7.72E-172
CENPH,-4.380138054,1.56E-171
ZSCAN10,-11.33528831,2.68E-171
NCAM1,7.251037149,1.59E-170
MORN4,2.978283132,4.83E-170
COL14A1,-7.506193542,4.95E-170
RAB39B,2.470396758,8.36E-170
ENPP1,-7.80582955,9.61E-170
TP53,-4.339057532,1.45E-169
LRRN3,6.17729435,1.21E-168
HAUS6,-2.313328432,1.97E-168
PTPRN2,6.959409457,2.32E-168
CNTNAP5,7.651849951,2.50E-168
CHEK1,-4.175891516,3.34E-167
GNA14,-5.164446348,3.76E-167
KIF23,-6.673269944,4.39E-167
EFNA3,3.271323822,2.11E-166
DENND6B,6.289318464,7.66E-166
B3GALT5,-5.758096453,1.97E-165
RAB40B,4.882033821,3.37E-165
ITPR3,-2.546858312,4.01E-165
NCAN,6.60281928,7.47E-165
SNAP23,-3.601626091,8.20E-165
DDX21,-2.83842582,8.20E-165
CENPK,-4.351506018,8.67E-165
CDH2,2.591735644,4.43E-163
STX1B,3.370046525,7.37E-163
CDCA5,-6.131714,1.29E-162
SMARCD3,3.660068322,1.60E-162
TRIM56,-5.845608816,1.73E-162
RIMS1,5.33049363,2.81E-162
CA14,-5.558748083,2.96E-161
KIAA0895L,3.718534872,3.04E-161
LSAMP,5.697522055,5.00E-160
MIS18BP1,-6.296155372,1.47E-159
CBX4,4.476196819,1.88E-159
SFRP1,-3.605807928,2.38E-159
NXPH4,5.525488973,3.66E-159
GOLGA7B,7.807414263,6.63E-159
DEK,-2.549527981,7.90E-159
GTSE1,-5.202252119,1.25E-158
FANCI,-4.165748966,2.18E-158
SAV1,-2.920593786,2.80E-158
IQGAP1,-4.546928075,7.95E-158
TCN2,-2.672254908,7.95E-158
SCUBE1,4.923061997,8.82E-158
MVB12B,3.555534786,1.00E-157
SCG3,2.574955944,1.18E-157
FGF18,7.103078896,2.92E-157
PCSK1N,6.801782951,3.25E-157
PHACTR3,7.302569426,4.96E-157
HJURP,-6.727553825,5.16E-157
CTNNA1,-3.932371023,1.38E-156
ZNF90,-4.512970193,1.69E-156
UGP2,-3.439814459,1.88E-156
CDK5R1,4.395691942,2.17E-156
TRIM59,-5.481395621,3.06E-156
KIF3A,2.903519303,3.67E-156
CUL4A,-1.872118253,4.06E-156
AJM1,4.56689811,6.63E-156
L1TD1,-12.45255398,1.19E-155
CHRNB2,4.738939157,4.95E-155
ZHX1,3.96407201,5.05E-155
HGSNAT,4.204223952,8.08E-155
GALNT16,3.162272743,8.97E-155
RAI1,5.123292079,1.85E-154
FAXC,3.529779718,3.23E-154
MAD2L1,-4.717774478,4.65E-154
NRCAM,5.758075269,9.29E-154
SYT1,3.627786198,9.67E-154
PCDHA4,3.9966429,1.05E-153
ALDOC,-3.204087935,1.12E-153
EIF2S3,-1.799640787,2.42E-153
CGNL1,-6.075399666,3.27E-153
SV2C,8.056280229,5.94E-153
TMEM59L,4.8594604,1.41E-152
LGI2,4.424649288,1.63E-152
CRTAP,-2.411002443,2.45E-152
KCNA2,7.395552251,2.94E-152
MYO1D,-3.295231167,4.10E-152
NDC80,-6.03856774,4.43E-152
GALNT7,-4.789744671,5.45E-152
SKA3,-7.315044365,3.89E-151
RBPMS,-4.427024104,9.66E-151
CACNA1E,6.954512181,1.67E-150
SLC35F2,-5.356489065,2.65E-150
NRG1,4.794314972,4.44E-150
PABPC1,-1.997970369,6.32E-150
SLC39A6,1.753436948,2.09E-149
SCD5,7.334264689,3.31E-149
SLC1A4,5.013175932,4.75E-149
AP1M2,-9.104170366,9.56E-149
DMTN,6.728652872,1.42E-148
TLCD3B,4.084533241,3.61E-148
CCNA2,-5.466243115,7.07E-148
MTHFD1,-3.696705767,8.75E-148
CDH1,-9.291070257,1.30E-147
ISLR2,10.73659343,2.70E-147
MLLT11,3.879634265,3.27E-147
SLC45A1,4.299103973,4.38E-147
SYT13,4.72741793,4.89E-147
RNF152,8.050963525,1.05E-146
NKAIN2,4.801151677,1.56E-146
PALS2,-4.15806484,1.78E-146
STX1A,3.59095901,3.43E-146
EFR3B,3.575514688,3.86E-146
SPNS2,5.730400679,6.46E-146
C2CD2L,3.940264685,5.76E-145
SPAG5,-4.264086415,1.50E-143
PODXL2,3.059005079,3.95E-143
CNR1,8.673602576,4.70E-143
TRIM22,-8.346701839,5.23E-143
SPOCK1,4.643615327,9.77E-143
PALM,4.949532884,1.75E-142
SRSF1,-2.161892296,1.83E-142
POC1A,-4.088177947,3.33E-142
CYLD,2.960192461,4.28E-142
EZR,-5.628159732,1.28E-141
SLC12A5,6.788659725,1.74E-141
GDAP1,2.09373099,3.52E-141
MINAR1,5.145144273,3.52E-141
ABLIM2,4.078456648,7.93E-141
ARSD,3.131548429,1.45E-140
CYB5D2,3.071614752,2.49E-140
CDT1,-5.573583084,2.56E-140
SLC17A6,7.366747673,2.65E-140
ENC1,3.854440327,3.38E-140
GRTP1,-5.040534133,1.51E-139
KIF22,-2.156334406,1.52E-139
RHBDD2,2.336307273,1.80E-139
NAA15,-2.230668062,2.23E-139
EFNB2,3.088165368,3.12E-139
SYT5,6.447409615,4.22E-139
ATP2B3,6.903699712,4.31E-139
EPB41L1,3.747399997,7.06E-139
RGS5,-4.62473232,9.04E-139
SEPTIN6,1.779724382,1.67E-138
SERPING1,-3.066287187,3.31E-138
CALD1,-3.609071329,4.71E-138
ELMOD1,4.694583443,5.96E-138
ASTN1,4.374110061,7.54E-138
CASKIN1,4.283418733,1.29E-137
USO1,-2.645983538,2.15E-137
DDX18,-1.577673648,2.15E-137
FKBP5,-3.319307609,2.32E-137
CRTAC1,7.93041586,2.44E-137
KDR,-7.807520404,3.60E-137
IRGQ,2.12147118,6.38E-137
MRAS,3.250131394,1.83E-136
NUDT5,-1.79350412,5.67E-136
PDLIM5,-4.445624448,5.86E-136
ARHGEF19,-5.563495709,1.05E-135
TMEM169,3.973291971,1.20E-135
RAB3C,4.765958929,2.15E-135
CHRNA4,4.964355817,4.98E-135
SHC3,4.009871502,7.51E-135
KRT19,-5.071505646,8.45E-135
SCN3B,8.089064689,1.33E-134
EBF4,5.472516459,1.85E-134
PCSK2,4.354067293,2.05E-134
RARRES2,-10.29375233,2.37E-134
SHC2,5.911761162,3.00E-134
LARGE2,-7.862457017,3.79E-134
KHDRBS3,2.12170056,5.73E-134
POU4F1,10.57071536,1.07E-133
ACTL6A,-2.091304938,1.36E-133
IL17D,4.785451545,1.45E-133
PTPRO,6.581897553,2.05E-133
TECPR1,2.589101984,3.56E-133
MTURN,5.199182734,4.53E-133
STOM,-5.276932885,2.84E-132
MAPK10,5.277686264,5.81E-132
CBX8,5.352328602,2.71E-131
ZNF703,6.314515395,7.88E-131
NEGR1,6.10017896,1.30E-130
LHFPL2,-3.300502156,2.95E-130
ADCY2,-3.720680383,3.54E-130
PAFAH1B1,1.913091991,4.14E-130
NECTIN3,-3.93185727,7.49E-130
MGAT4A,5.478448007,1.84E-129
LTA4H,-3.008879546,2.15E-129
DCTN3,3.858010826,2.43E-129
NAPB,4.91526761,3.86E-129
CYP46A1,6.605512031,5.98E-129
KCNC1,7.535670745,6.04E-129
DISP2,5.186604434,7.92E-129
PSIP1,-2.034725535,1.02E-128
PPP2R5A,-3.364406794,1.26E-128
LONRF2,7.137256634,1.39E-128
CDK5R2,9.962422497,1.75E-128
EVI5L,3.085070133,3.05E-128
AMER3,7.35431943,6.66E-128
CPE,4.797297516,1.12E-127
STX12,3.515995983,1.48E-127
NDFIP1,2.437945055,2.38E-127
POLA2,-2.205246247,2.87E-127
SLC7A2,-6.233898892,3.19E-127
CLDN6,-6.066179081,3.59E-127
PDE10A,4.35530372,7.71E-127
STXBP2,-3.592352308,1.29E-126
HRK,4.786058726,1.71E-126
SLC9A6,2.624040121,2.67E-126
EBF1,6.936298313,2.72E-126
NCAPH,-3.899791626,3.96E-126
ZWILCH,-1.678758332,4.47E-126
SGIP1,8.045430528,4.66E-126
SALL4,-4.36345777,5.95E-126
PPT1,-2.192826155,9.05E-126
LYAR,-3.745701393,1.36E-125
SFXN3,5.620560508,2.23E-125
OPTN,2.374753146,2.97E-125
CALU,-1.921464116,3.18E-125
RAB31,-3.335118738,3.46E-125
GART,-2.011890539,2.17E-124
TBC1D24,2.819657482,2.27E-124
MOV10,-4.874471276,2.30E-124
RIMS3,4.152625551,5.12E-124
TRAM1,-2.769097495,7.21E-124
KIF5A,5.392310975,8.05E-124
PARP1,-2.313447953,8.97E-124
EZH2,-1.960510706,1.77E-123
CADM3,5.506126051,2.22E-123
MARCHF9,3.19765163,2.61E-123
NAT10,-2.159096485,3.83E-123
ARHGAP19,-3.989248706,4.37E-123
C3orf14,2.428454828,7.93E-123
FAM83D,-4.901814241,1.04E-122
ASB8,2.226201401,1.32E-122
MUC3A,-4.447768923,1.66E-122
RMI2,-3.957922447,2.57E-122
RAB25,-7.200343872,2.63E-122
TOP1MT,-4.097422547,3.83E-122
AKR1C1,6.232136509,4.71E-122
PLSCR1,-7.036218626,9.14E-122
CTSC,-6.368922822,9.27E-122
TSPAN6,-2.131718897,1.42E-121
FRMD3,4.67779994,1.43E-121
TTLL11,5.974842304,1.51E-121
PCDH10,5.326333475,1.78E-121
RHOA,-1.527013932,2.22E-121
DNM3,5.125261263,2.25E-121
CIP2A,-4.099423363,2.87E-121
PLXNA4,6.447189126,5.35E-121
ADGRG1,7.03602816,1.03E-120
SUN2,3.756186111,1.35E-120
C1orf112,-3.259644064,1.57E-120
KIAA0513,5.564276164,1.68E-120
KLHL22,2.302868044,2.08E-120
MAPRE2,3.615937356,2.37E-120
CADM1,3.603507336,2.42E-120
NDST3,5.186155106,2.52E-120
PRMT2,2.131827402,2.85E-120
FRRS1L,6.821582222,3.24E-120
FSTL1,-3.136483731,3.91E-120
MCM5,-5.431074043,4.05E-120
GDAP1L1,4.702394815,5.30E-120
NUDCD3,1.470640555,5.64E-120
AGPAT3,6.313760393,7.83E-120
ALPL,-7.348743925,8.70E-120
HSPA12A,5.381563718,1.82E-119
LOC728392,5.18771278,2.31E-119
PHC2,2.974553415,5.64E-119
KIAA0895,7.21032464,9.27E-119
ANKRD6,3.052467642,1.28E-118
NIPBL-DT,3.234279356,1.77E-118
VPS26B,1.92694949,1.97E-118
ZCCHC12,8.364248334,4.80E-118
PRKAR2B,3.247538402,7.63E-118
DOCK6,-4.501916903,1.08E-117
TRIM25,-2.867359282,1.34E-117
GAREM2,2.515177985,1.51E-117
ESCO2,-5.932800311,1.78E-117
LINC00938,2.655513056,2.14E-117
STMN4,9.778326634,3.58E-117
CSRP2,-2.721567207,3.95E-117
KCNA6,2.801188769,4.46E-117
ACVR1B,3.034936985,5.21E-117
IMPA2,-7.403290576,7.76E-117
ZWINT,-4.563459708,9.29E-117
TSR1,-2.251633333,1.16E-116
MAP1LC3B,1.960712158,1.21E-116
PUS7,-3.323527458,1.42E-116
AASS,-5.868627544,2.76E-116
ADCY8,5.124488093,3.61E-116
RAB17,-8.593391242,4.51E-116
ORC1,-5.780750111,4.86E-116
RIN2,4.72969838,5.47E-116
GOLPH3L,-2.37500248,7.12E-116
RPS6KL1,4.047204575,8.68E-116
RNF146,1.712307368,1.40E-115
SYNGR1,3.451684386,1.74E-115
AGAP2,5.431305762,1.80E-115
DDX11,-3.102606993,2.20E-115
LOC105372310,-4.19729593,2.84E-115
DDX46,-2.070857232,6.05E-115
EIF3D,-2.206220521,1.13E-114
FHIP1A,-7.356797032,3.60E-114
DYNC1I2,1.51378822,3.88E-114
HK2,-6.755005288,4.72E-114
TRPC4,-4.418849417,7.72E-114
POLA1,-2.563006126,8.63E-114
THBS2,-4.968622629,1.07E-113
MAPK8,2.412387541,1.30E-113
DPYSL5,5.538968273,1.35E-113
LYN,-7.859648745,1.62E-113
PLK4,-3.796512623,2.36E-113
CDKN2D,5.884391921,2.38E-113
KIF14,-6.40348716,2.39E-113
PFN2,1.618759034,2.79E-113
IRX3,6.081906482,3.76E-113
PPAT,-2.262420126,5.51E-113
RPL3,-2.087510992,8.87E-113
PLCXD3,9.440542368,9.87E-113
NOVA1,4.073878711,1.15E-112
EPHA10,6.368005832,3.60E-112
SLC39A14,-2.467993745,4.37E-112
NSG1,4.851010416,6.61E-112
LRATD2,-2.430009223,7.08E-112
SNAP25,9.197661597,8.26E-112
UGDH,-2.477705355,1.45E-111
NAP1L5,5.076869611,1.48E-111
PSMD11,-1.650548363,3.35E-111
SPATS2L,-3.917860848,3.93E-111
NBPF15,2.666550193,6.35E-111
PLA2G3,-7.528368051,8.74E-111
NRG3,4.239792123,1.44E-110
PLP1,-8.457194075,2.40E-110
MELK,-5.564205809,2.75E-110
YES1,-2.065376026,4.83E-110
MARVELD3,-7.752192583,5.89E-110
PTPN5,4.166385992,6.18E-110
MCM7,-3.435176071,6.56E-110
LINC01356,-5.19896094,7.84E-110
ABLIM3,6.562346813,9.67E-110
RADX,3.356440527,1.16E-109
HACL1,-3.463071576,1.80E-109
MXRA7,1.933471837,1.80E-109
GABBR2,6.295786802,1.87E-109
DSP,-5.956021481,3.20E-109
PHLDB2,-5.650719399,3.89E-109
PLXNA2,4.195044505,4.07E-109
B4GALNT1,6.363964059,4.72E-109
CAMK2B,9.480661518,5.19E-109
SYT9,3.383255698,5.43E-109
TOMM34,-1.742444584,6.72E-109
TBC1D9,5.270171491,9.10E-109
DEPDC1,-7.468236938,1.58E-108
SMPD1,3.308858806,2.27E-108
STXBP1,3.286906326,3.24E-108
SLC26A11,2.18304065,4.36E-108
AKAP6,8.479584224,5.20E-108
KCNN2,-3.281458813,5.34E-108
CENPI,-4.236671588,5.77E-108
CTNNAL1,-4.013696378,6.57E-108
WDR62,-3.48873184,2.50E-107
RTN3,1.218017574,3.88E-107
DSE,-2.793684928,4.02E-107
SYT7,4.283254458,7.01E-107
SH2D3C,3.45679732,8.52E-107
PTPN3,3.877754717,1.64E-106
DACT3,6.763474824,2.01E-106
DCC,5.810216285,2.72E-106
CCDC167,3.323834291,3.53E-106
ZSCAN18,2.179889487,3.86E-106
FKBP7,3.175874064,3.98E-106
TIMELESS,-2.59211398,4.66E-106
RFC3,-2.619292683,4.92E-106
AIF1L,-6.451483577,9.35E-106
ENO1,-3.010490436,1.53E-105
RTL5,5.315190703,1.74E-105
RPS6KA2,2.262647873,2.27E-105
MARCHF4,5.807101629,4.19E-105
ITPR2,-7.492608526,5.05E-105
APBB1,3.451878375,5.48E-105
FAM13B,2.632370461,7.07E-105
CPSF2,-2.215494878,7.28E-105
DDB2,-3.890722462,1.19E-104
POGLUT3,-3.225040372,1.50E-104
TRIM28,-1.992443395,1.61E-104
RASL11B,-3.105884704,1.88E-104
RUNDC3A,6.514305719,2.10E-104
DTX1,4.369989008,2.66E-104
SERPINH1,-5.240515078,3.13E-104
SLC29A2,-1.715771454,4.07E-104
GNG2,4.833238327,6.19E-104
DSCC1,-6.464829459,6.33E-104
ATP9A,5.042347606,8.02E-104
EOGT,-3.218466889,8.05E-104
WDR76,-5.326978121,9.05E-104
RRAS2,-2.907890357,1.31E-103
PRKCE,6.416727725,1.35E-103
GULP1,-7.588073132,1.37E-103
CHEK2,-5.590852701,2.05E-103
DUBR,3.535606719,2.05E-103
FAM110B,3.209229094,2.51E-103
FITM2,2.702283825,2.78E-103
SEPTIN10,-3.960710426,3.43E-103
SIPA1L2,3.833852508,4.38E-103
USP11,2.026091637,5.23E-103
SMC4,-3.509715259,6.99E-103
TSPAN7,4.415757739,7.73E-103
PLCL1,8.813469986,1.96E-102
TJP2,-5.836304414,2.24E-102
TAFA2,5.274096289,2.48E-102
VSTM4,4.509676209,3.62E-102
CALM1,1.660647965,4.07E-102
DDIAS,-3.734841663,4.27E-102
ARHGEF39,-4.258921392,6.28E-102
NCAPD2,-3.144187443,7.31E-102
SUCLG2,-5.203327631,1.55E-101
KNL1,-3.705635694,1.55E-101
GMNN,-3.397495927,1.63E-101
RHBDF2,-7.397034275,1.69E-101
NOVA2,3.341732586,2.97E-101
TMEM121B,3.707270499,3.44E-101
FAM111A,-6.952685005,4.21E-101
HIP1R,3.747253368,5.57E-101
TP53INP2,5.772495198,9.16E-101
TRIM14,-3.355594558,1.10E-100
CDC7,-1.790776774,1.68E-100
TSPAN13,2.613790195,2.42E-100
TMEM123,-5.118631184,3.39E-100
TNRC18,4.879049273,3.66E-100
FNDC5,5.109448408,4.81E-100
ERCC6L,-6.167196506,5.55E-100
IQGAP2,-4.743170246,5.74E-100
TRAPPC6B,1.693312105,1.04E-99
HSBP1,1.810567266,1.05E-99
TICRR,-5.29346828,1.13E-99
FRY,4.383484978,1.38E-99
HINT3,2.424217066,1.49E-99
MAP3K12,3.096903162,2.59E-99
GALM,-4.080156249,2.68E-99
MAP2,6.862283598,3.23E-99
TSC22D1,1.760873446,4.25E-99
SLC12A4,-3.665284323,4.36E-99
ATIC,-2.661837377,4.73E-99
CHD5,6.161894328,5.09E-99
SLC2A3,-2.00933241,5.47E-99
ZNF503,8.200600559,6.92E-99
PCLAF,-6.419453383,7.44E-99
AFF3,5.161186777,7.48E-99
TSPOAP1,3.965980999,7.67E-99
BTN2A1,2.470431272,1.26E-98
FHOD1,-4.723439278,1.33E-98
ISL1,9.942570597,1.74E-98
CLIP3,4.039693399,1.98E-98
ZNF583,2.915707422,2.32E-98
LINC02700,-10.87013957,2.63E-98
FYTTD1,1.914678978,3.06E-98
KLC4,1.759202325,4.23E-98
SCARB2,2.802026064,4.65E-98
CLCN4,3.725721444,5.87E-98
GRK5,4.617973995,6.68E-98
SYPL1,-4.509612207,7.24E-98
DMKN,-7.567659326,7.99E-98
MPPED2,4.088646146,8.09E-98
ATCAY,2.703433023,1.48E-97
RNF165,3.939216012,1.51E-97
CDCA4,-3.63757957,2.07E-97
TESMIN,-5.164769534,2.27E-97
MEGF11,5.209003665,5.19E-97
GRIPAP1,1.413646531,5.26E-97
VCAN,-3.472284249,5.74E-97
TENT5B,-8.584099413,5.85E-97
FAM161B,4.884845128,6.99E-97
RAD18,-2.255115943,7.01E-97
MYBL2,-6.935167859,7.40E-97
ARL2BP,2.231455824,7.78E-97
TMEM167B,2.173928779,9.02E-97
ETV3L,4.762016804,9.58E-97
PLTP,-4.71102364,9.61E-97
PSAT1,-2.980718389,1.34E-96
SDC3,3.911454849,1.46E-96
CDK20,2.756279562,1.68E-96
PNMA8A,2.891871796,4.30E-96
TGIF2,-5.717979019,5.38E-96
TMEM25,2.376145315,5.78E-96
MEGF9,4.857602559,6.67E-96
CHAF1A,-3.109037173,6.81E-96
H1-2,-5.281710152,1.34E-95
PARP4,-3.48641688,1.82E-95
AMFR,2.241100135,1.88E-95
RASSF3,-6.257380483,2.86E-95
ESRP2,-9.620834434,2.89E-95
TYW3,-2.4029288,6.92E-95
WDR13,2.300422151,7.19E-95
C14orf132,3.564928384,8.29E-95
RCAN2,2.745201095,9.12E-95
RAB11FIP1,-2.393404416,1.11E-94
ITGB3BP,-3.527707075,1.20E-94
RNF138,-2.202436145,1.35E-94
CPZ,-8.572003731,2.38E-94
PRPS2,-4.294093526,3.26E-94
TEX15,-5.981911172,3.49E-94
NAA50,-1.915965301,4.15E-94
RAB34,-5.840582966,4.75E-94
MTAP,-2.733846184,5.08E-94
CACNG4,6.149357532,5.08E-94
HMMR,-6.035544943,8.83E-94
KCNQ2,4.176751355,1.15E-93
ONECUT3,12.74159287,1.27E-93
CPVL,-5.818430858,1.60E-93
XPOT,-2.556084471,1.76E-93
UGT8,-7.85136134,1.79E-93
ZNF367,-3.895055146,2.39E-93
HAUS4,-4.805178951,2.71E-93
RFWD3,-2.893219924,3.69E-93
SPDL1,-1.661123592,3.79E-93
GPR160,-7.775702202,3.98E-93
GINS2,-3.218827481,5.17E-93
GOLIM4,-1.836413805,6.19E-93
SCPEP1,-4.444975726,1.51E-92
RGS12,2.457886418,1.51E-92
AMER2,8.583247039,1.87E-92
PLOD1,-2.537181685,2.79E-92
DONSON,-1.751835386,3.74E-92
APOE,-4.800311913,4.18E-92
DOK6,6.592981576,6.50E-92
IFIT5,3.086584148,6.82E-92
CAD,-2.238883517,6.96E-92
SCRT2,7.156130704,8.86E-92
NOLC1,-1.468608105,9.67E-92
PDIA4,-2.655302184,9.75E-92
TCF7L2,-5.683670547,9.87E-92
MEGF10,-4.244089675,1.46E-91
KIF20B,-5.115100665,1.98E-91
HNRNPA2B1,-1.743812595,2.46E-91
TDRD7,4.938710654,3.11E-91
UGT3A2,-9.377853303,7.28E-91
C15orf61,4.202691485,8.32E-91
TPPP,6.090161746,9.07E-91
XRCC5,-1.51361444,9.69E-91
CRLF3,-2.238830921,1.16E-90
NICN1,2.812676552,1.23E-90
NETO2,2.171792991,1.79E-90
CPT1C,2.044989969,1.89E-90
PLPP2,-8.466325922,2.46E-90
SLC7A3,-5.538038078,2.67E-90
TDGF1,-14.96408132,2.98E-90
PLPPR2,4.676382514,3.18E-90
PCDHGB6,4.800250699,3.49E-90
